               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 128,            0.024171,           0.0098168,            0.015999,             0.90286,             0.90662,             0.97357,             0.78803,            0.010072,           0.0029672,           0.0042383,           0.0074854,           0.0074854,           0.0074854
                 129,            0.021083,           0.0090176,            0.011107,             0.97281,             0.97396,             0.99385,             0.83648,           0.0091671,           0.0024818,           0.0016783,           0.0074656,           0.0074656,           0.0074656
                 130,             0.02354,           0.0097085,           0.0097044,             0.98945,             0.99231,             0.99489,             0.85908,           0.0081044,           0.0022936,            0.001086,           0.0074458,           0.0074458,           0.0074458
                 131,             0.02319,           0.0093244,            0.011311,             0.99914,                   1,               0.995,             0.85487,           0.0080637,           0.0023853,          0.00080912,            0.007426,            0.007426,            0.007426
                 132,            0.023691,           0.0093796,            0.011177,             0.98161,             0.97788,              0.9945,             0.86457,           0.0077864,           0.0023701,            0.001455,           0.0074062,           0.0074062,           0.0074062
                 133,            0.025228,           0.0093196,            0.012181,             0.99771,                   1,               0.995,             0.85043,           0.0084165,           0.0022809,           0.0011314,           0.0073864,           0.0073864,           0.0073864
                 134,            0.026002,           0.0097982,            0.012159,             0.98365,             0.99615,             0.99412,             0.86185,           0.0080669,           0.0022027,           0.0012054,           0.0073666,           0.0073666,           0.0073666
                 135,            0.024298,           0.0094609,            0.012047,             0.98365,             0.99892,             0.99454,             0.84509,           0.0082976,           0.0021483,           0.0012832,           0.0073468,           0.0073468,           0.0073468
                 136,            0.023086,           0.0094497,           0.0096626,             0.97586,             0.99849,             0.99283,             0.83313,           0.0082295,           0.0022349,           0.0013736,            0.007327,            0.007327,            0.007327
                 137,            0.026373,           0.0097855,            0.010841,             0.96334,             0.96662,             0.98508,             0.84913,           0.0071568,            0.002206,           0.0044002,           0.0073072,           0.0073072,           0.0073072
                 138,            0.022434,           0.0091257,            0.009859,             0.85934,             0.89885,             0.91322,             0.76803,           0.0083656,           0.0025633,            0.011946,           0.0072874,           0.0072874,           0.0072874
                 139,            0.021369,           0.0092991,            0.011957,             0.84744,             0.92255,             0.92728,             0.72961,            0.010227,           0.0026432,             0.01125,           0.0072676,           0.0072676,           0.0072676
                 140,            0.022659,           0.0097771,            0.018736,             0.96467,             0.96684,             0.99369,             0.82977,           0.0092493,           0.0026115,           0.0030953,           0.0072478,           0.0072478,           0.0072478
                 141,            0.023089,            0.010106,            0.013664,             0.95409,             0.98462,             0.99289,             0.83153,           0.0088914,           0.0024662,           0.0028673,            0.007228,            0.007228,            0.007228
                 142,            0.022975,           0.0090427,            0.012372,             0.95167,             0.94128,             0.98537,             0.83885,           0.0085005,           0.0023326,           0.0031934,           0.0072082,           0.0072082,           0.0072082
                 143,            0.023663,           0.0098621,             0.01296,             0.97437,             0.97474,             0.99313,             0.84448,           0.0075564,           0.0023151,           0.0022925,           0.0071884,           0.0071884,           0.0071884
                 144,            0.023982,            0.009399,            0.012118,             0.98161,             0.99466,             0.99438,             0.86392,           0.0073795,           0.0021601,           0.0010672,           0.0071686,           0.0071686,           0.0071686
                 145,             0.02402,           0.0091499,            0.012023,             0.97914,             0.99148,              0.9945,             0.84394,           0.0069294,           0.0021838,           0.0011342,           0.0071488,           0.0071488,           0.0071488
                 146,             0.02421,           0.0090139,            0.011545,             0.99438,             0.99615,               0.995,             0.85066,           0.0088214,           0.0023547,          0.00095849,            0.007129,            0.007129,            0.007129
                 147,            0.022219,           0.0092447,             0.01147,             0.99915,                   1,               0.995,             0.84394,           0.0088655,           0.0023947,           0.0010703,           0.0071092,           0.0071092,           0.0071092
                 148,            0.024292,           0.0094091,            0.011325,             0.96338,             0.97045,              0.9925,             0.83282,            0.009263,           0.0023852,           0.0025035,           0.0070894,           0.0070894,           0.0070894
                 149,            0.025441,           0.0098476,           0.0087385,             0.98229,                   1,             0.99489,             0.80887,           0.0096475,           0.0025446,           0.0013855,           0.0070696,           0.0070696,           0.0070696
                 150,            0.024571,           0.0096157,            0.010863,             0.89068,             0.95911,             0.98973,             0.82351,           0.0093733,            0.002514,            0.004132,           0.0070498,           0.0070498,           0.0070498
                 151,            0.022816,           0.0093498,           0.0095633,             0.89063,             0.98253,             0.99398,             0.83584,           0.0093713,           0.0025591,           0.0036634,             0.00703,             0.00703,             0.00703
                 152,            0.025447,              0.0097,           0.0098478,             0.99341,             0.99615,               0.995,             0.86136,            0.007708,           0.0021312,           0.0011117,           0.0070102,           0.0070102,           0.0070102
                 153,            0.022044,           0.0089287,             0.01091,             0.95462,             0.95454,             0.99411,             0.86099,           0.0079071,           0.0021789,           0.0022868,           0.0069904,           0.0069904,           0.0069904
                 154,            0.022821,           0.0093725,            0.012618,             0.89416,             0.91725,             0.99403,             0.86996,           0.0078367,           0.0021614,           0.0057442,           0.0069706,           0.0069706,           0.0069706
                 155,            0.023003,           0.0094324,           0.0097917,             0.92748,             0.96031,             0.99492,              0.8612,           0.0085952,           0.0022138,           0.0037704,           0.0069508,           0.0069508,           0.0069508
